graph_id,src,dst,weight
3,47,12,0.8247701805960466
3,48,46,0.8103185448365854
3,49,14,0.8994455793702779
3,49,61,0.8051117597934533
3,52,17,0.8061210161997321
3,53,55,0.8297173132148303
3,54,55,0.8036109084779385
3,55,53,0.8297173132148303
3,55,54,0.8036109084779385
3,56,21,0.8494986557989527
3,57,22,0.8511798600858931
3,59,24,0.8783532059241399
3,61,26,0.8306899283970846
3,61,49,0.8051117597934533
3,65,30,0.8191850953282797
4,5,11,0.8400375585376306
4,5,13,0.8438895866339957
4,5,21,0.8988028834460888
4,5,46,0.8256484246179959
4,5,48,0.829240795775532
4,7,13,0.8611937533500026
4,7,42,0.842114540694354
4,7,48,0.8121114720892609
4,8,10,0.8523907957052139
4,10,8,0.8523907957052139
4,10,25,0.8321781499915162
4,11,5,0.8400375585376306
4,11,13,0.8280315954846353
4,11,21,0.8158807512227898
4,11,46,0.8277823569161148
4,13,5,0.8438895866339957
4,13,7,0.8611937533500026
4,13,11,0.8280315954846353
4,13,21,0.880431894105645
4,13,48,0.8923927219813194
4,14,49,0.9033975943048701
4,21,5,0.8988028834460888
4,21,11,0.8158807512227898
4,21,13,0.880431894105645
4,21,46,0.8191095592788493
4,21,48,0.8929078648755138
4,21,56,0.8098597654293836
4,24,59,0.856901636374452
4,25,10,0.8321781499915162
4,25,60,0.8861104892483711
4,26,61,0.8436608246773232
4,29,64,0.8223806120504121
4,30,65,0.8089751403603944
4,31,66,0.8222539972198917
4,40,46,0.8142310727623324
4,42,7,0.842114540694354
4,42,48,0.8141332345605915
4,46,5,0.8256484246179959
4,46,11,0.8277823569161148
4,46,21,0.8191095592788493
4,46,40,0.8142310727623324
4,46,48,0.8172997968633541
4,48,5,0.829240795775532
4,48,7,0.8121114720892609
4,48,13,0.8923927219813194
4,48,21,0.8929078648755138
4,48,42,0.8141332345605915
4,48,46,0.8172997968633541
4,49,14,0.9033975943048701
4,56,21,0.8098597654293836
4,59,24,0.856901636374452
4,60,25,0.8861104892483711
4,61,26,0.8436608246773232
4,64,29,0.8223806120504121
4,65,30,0.8089751403603944
4,66,31,0.8222539972198917
5,0,35,0.8536419679585678
5,5,21,0.8372019376948324
5,5,40,0.8447650529994671
5,7,13,0.8126174023838518
5,10,25,0.8666838541842934
5,10,45,0.8469394276433896
5,10,60,0.8608029842010004
5,11,13,0.822866076934046
5,11,21,0.8144229434426874
5,11,46,0.8212852358765914
5,11,48,0.8321701791568921
